,tmdb_id,imdb_id,budget,revenue,original_language,release_date,tmdb_vote_average,tmdb_vote_count,genre,startYear,imdb_vote_average,imdb_vote_count
0,134803,tt0221431,0,0,en,2000-01-01,3.9,9,Drama,2000,4.8,465
1,134803,tt0221431,0,0,en,2000-01-01,3.9,9,Family,2000,4.8,465
7,10384,tt0134983,90000000,14828081,en,2000-01-14,4.954,312,Thriller,2000,4.8,18327
9,77434,tt0197096,0,0,en,2000-01-20,5.684,19,Drama,2000,6.8,2811
10,2360,tt0195234,10000000,26330482,en,2000-01-24,6.504,358,Crime,2000,6.9,18715
13,4234,tt0134084,40000000,161834276,en,2000-02-03,5.9510000000000005,2746,Mystery,2000,5.6,145817
14,2787,tt0134847,23000000,53187659,en,2000-02-18,6.831,3846,Thriller,2000,7.1,242257
16,2787,tt0134847,23000000,53187659,en,2000-02-18,6.831,3846,Action,2000,7.1,242257
18,462,tt0195685,52000000,256271286,en,2000-03-17,7.41,2647,Drama,2000,7.4,200636
19,1900,tt0181865,48000000,207515725,en,2000-03-23,7.059,1775,Thriller,2000,7.6,209070
20,1900,tt0181865,48000000,207515725,en,2000-03-23,7.059,1775,Drama,2000,7.6,209070
21,1900,tt0181865,48000000,207515725,en,2000-03-23,7.059,1775,Crime,2000,7.6,209070
22,60489,tt0214871,3000000,0,en,2000-04-01,4.0,23,Action,2000,3.6,1603
23,41165,tt0158033,0,0,en,2000-04-05,5.2,11,Drama,2000,5.9,1783
24,18002,tt0199727,0,0,en,2000-04-07,5.8,47,Action,2000,6.4,5512
26,18002,tt0199727,0,0,en,2000-04-07,5.8,47,Thriller,2000,6.4,5512
27,18002,tt0199727,0,0,en,2000-04-07,5.8,47,Crime,2000,6.4,5512
29,10479,tt0160797,60000000,71000000,en,2000-04-07,6.2120000000000015,582,Action,2000,6.4,48413
30,10479,tt0160797,60000000,71000000,en,2000-04-07,6.2120000000000015,582,Adventure,2000,6.4,48413
31,10479,tt0160797,60000000,71000000,en,2000-04-07,6.2120000000000015,582,Drama,2000,6.4,48413
33,196280,tt0210149,0,0,en,2000-04-13,5.1,10,Drama,2000,6.0,713
34,16225,tt0119273,15000000,0,en,2000-04-19,6.0779999999999985,173,Action,2000,5.4,8825
35,16225,tt0119273,15000000,0,en,2000-04-19,6.0779999999999985,173,Adventure,2000,5.4,8825
40,3536,tt0141926,62000000,127666415,en,2000-04-20,6.4510000000000005,1004,Drama,2000,6.6,83245
41,3536,tt0141926,62000000,127666415,en,2000-04-20,6.4510000000000005,1004,Action,2000,6.6,83245
42,3536,tt0141926,62000000,127666415,en,2000-04-20,6.4510000000000005,1004,Thriller,2000,6.6,83245
44,889,tt0158622,83000000,59468275,en,2000-04-28,4.807,634,Family,2000,3.7,24043
46,25069,tt0217629,0,0,en,2000-05-04,6.8260000000000005,23,Drama,2000,7.0,3387
49,98,tt0172495,103000000,465361176,en,2000-05-04,8.2,15962,Action,2000,8.5,1502592
50,98,tt0172495,103000000,465361176,en,2000-05-04,8.2,15962,Drama,2000,8.5,1502592
51,98,tt0172495,103000000,465361176,en,2000-05-04,8.2,15962,Adventure,2000,8.5,1502592
52,10560,tt0210616,29000000,26385941,en,2000-05-12,6.94,291,Drama,2000,6.6,21910
54,955,tt0120755,125000000,546388105,en,2000-05-24,6.109,5598,Adventure,2000,6.1,345680
55,955,tt0120755,125000000,546388105,en,2000-05-24,6.109,5598,Action,2000,6.1,345680
56,955,tt0120755,125000000,546388105,en,2000-05-24,6.109,5598,Thriller,2000,6.1,345680
57,9600,tt0208003,30000000,173959438,en,2000-05-31,5.808,1994,Crime,2000,5.2,86788
59,55101,tt0186183,700000,0,en,2000-06-01,5.621,62,Crime,2000,6.1,3640
60,55101,tt0186183,700000,0,en,2000-06-01,5.621,62,Drama,2000,6.1,3640
61,55101,tt0186183,700000,0,en,2000-06-01,5.621,62,Thriller,2000,6.1,3640
62,479,tt0162650,46000000,107626125,en,2000-06-15,5.972,1078,Action,2000,6.0,77910
63,479,tt0162650,46000000,107626125,en,2000-06-15,5.972,1078,Adventure,2000,6.0,77910
64,479,tt0162650,46000000,107626125,en,2000-06-15,5.972,1078,Crime,2000,6.0,77910
65,479,tt0162650,46000000,107626125,en,2000-06-15,5.972,1078,Thriller,2000,6.0,77910
66,9519,tt0221073,0,236185,en,2000-06-21,6.689,283,Crime,2000,7.1,39638
67,9519,tt0221073,0,236185,en,2000-06-21,6.689,283,Drama,2000,7.1,39638
68,9519,tt0221073,0,236185,en,2000-06-21,6.689,283,Thriller,2000,7.1,39638
69,2133,tt0177971,120000000,325756637,en,2000-06-29,6.414,1897,Action,2000,6.5,169904
70,2133,tt0177971,120000000,325756637,en,2000-06-29,6.414,1897,Adventure,2000,6.5,169904
71,2133,tt0177971,120000000,325756637,en,2000-06-29,6.414,1897,Drama,2000,6.5,169904
72,2133,tt0177971,120000000,325756637,en,2000-06-29,6.414,1897,Thriller,2000,6.5,169904
75,16110,tt0205461,19000000,19748009,en,2000-07-14,5.5,58,Drama,2000,4.1,4439
76,16110,tt0205461,19000000,19748009,en,2000-07-14,5.5,58,Family,2000,4.1,4439
80,5551,tt0186566,65000000,128884132,en,2000-08-04,6.363,1166,Action,2000,6.5,82481
81,5551,tt0186566,65000000,128884132,en,2000-08-04,6.363,1166,Adventure,2000,6.5,82481
82,5551,tt0186566,65000000,128884132,en,2000-08-04,6.363,1166,Thriller,2000,6.5,82481
84,32834,tt0196106,4,1,en,2000-08-11,4.8,67,Family,2000,4.1,2610
85,46119,tt0197384,0,26394,en,2000-08-25,6.2,39,Drama,2000,5.8,3443
86,134,tt0190590,26000000,71870729,en,2000-08-30,7.32,3529,Adventure,2000,7.7,314922
88,134,tt0190590,26000000,71870729,en,2000-08-30,7.32,3529,Crime,2000,7.7,314922
89,50225,tt0201899,0,0,en,2000-09-08,6.6,22,Drama,2000,6.8,1594
90,1619,tt0202677,8500000,19125401,en,2000-09-08,6.353,347,Action,2000,6.6,33940
91,1619,tt0202677,8500000,19125401,en,2000-09-08,6.353,347,Crime,2000,6.6,33940
92,1619,tt0202677,8500000,19125401,en,2000-09-08,6.353,347,Drama,2000,6.6,33940
93,1619,tt0202677,8500000,19125401,en,2000-09-08,6.353,347,Thriller,2000,6.6,33940
94,16340,tt0213203,30000000,103291131,en,2000-09-14,6.645,404,Family,2000,6.1,12875
96,16340,tt0213203,30000000,103291131,en,2000-09-14,6.645,404,Adventure,2000,6.1,12875
98,786,tt0181875,60000000,47386287,en,2000-09-15,7.5,2282,Drama,2000,7.9,278811
100,10562,tt0164212,25000000,1308242,en,2000-09-24,6.115,382,Thriller,2000,6.4,26305
101,10562,tt0164212,25000000,1308242,en,2000-09-24,6.115,382,Crime,2000,6.4,26305
102,10562,tt0164212,25000000,1308242,en,2000-09-24,6.115,382,Drama,2000,6.4,26305
104,33379,tt0203540,0,1443067,en,2000-10-01,6.4,50,Drama,2000,6.8,6165
105,33379,tt0203540,0,1443067,en,2000-10-01,6.4,50,Action,2000,6.8,6165
106,33379,tt0203540,0,1443067,en,2000-10-01,6.4,50,Crime,2000,6.8,6165
107,10461,tt0208988,63600000,19412993,en,2000-10-06,5.118,460,Action,2000,5.1,35075
108,10461,tt0208988,63600000,19412993,en,2000-10-06,5.118,460,Drama,2000,5.1,35075
109,10461,tt0208988,63600000,19412993,en,2000-10-06,5.118,460,Thriller,2000,5.1,35075
110,10461,tt0208988,63600000,19412993,en,2000-10-06,5.118,460,Crime,2000,5.1,35075
113,641,tt0180093,4500000,7390108,en,2000-10-06,8.033999999999999,8570,Crime,2000,8.3,844857
114,641,tt0180093,4500000,7390108,en,2000-10-06,8.033999999999999,8570,Drama,2000,8.3,844857
115,77,tt0209144,9000000,39723096,en,2000-10-11,8.189,12920,Mystery,2000,8.4,1240582
116,77,tt0209144,9000000,39723096,en,2000-10-11,8.189,12920,Thriller,2000,8.4,1240582
117,6521,tt0208874,20000000,22428990,en,2000-10-13,6.684,196,Drama,2000,6.9,24374
118,6521,tt0208874,20000000,22428990,en,2000-10-13,6.684,196,Thriller,2000,6.9,24374
120,5257,tt0205873,0,0,en,2000-10-19,6.726,155,Drama,2000,7.2,16560
125,37302,tt0190524,0,0,en,2000-10-30,4.257,105,Drama,2000,4.3,9939
128,37302,tt0190524,0,0,en,2000-10-30,4.257,105,Thriller,2000,4.3,9939
129,4327,tt0160127,92000000,264105545,en,2000-11-02,5.819,3667,Action,2000,5.6,188916
130,4327,tt0160127,92000000,264105545,en,2000-11-02,5.819,3667,Adventure,2000,5.6,188916
132,4327,tt0160127,92000000,264105545,en,2000-11-02,5.819,3667,Crime,2000,5.6,188916
133,4327,tt0160127,92000000,264105545,en,2000-11-02,5.819,3667,Thriller,2000,5.6,188916
134,9678,tt0185431,85000000,58292295,en,2000-11-10,5.872000000000001,1551,Family,2000,5.3,107136
140,8358,tt0162222,90000000,429632142,en,2000-12-22,7.6560000000000015,9925,Crime,2000,7.8,595856
141,8358,tt0162222,90000000,429632142,en,2000-12-22,7.6560000000000015,9925,Action,2000,7.8,595856
142,1493,tt0212346,45000000,212000000,en,2000-12-22,6.513,3352,Drama,2000,6.3,213648
143,1493,tt0212346,45000000,212000000,en,2000-12-22,6.513,3352,Thriller,2000,6.3,213648
144,1493,tt0212346,45000000,212000000,en,2000-12-22,6.513,3352,Mystery,2000,6.3,213648
146,1903,tt0259711,68000000,203388341,en,2001-01-22,6.807,3530,Drama,2001,6.9,270502
147,201889,tt0245182,0,0,en,2001-02-07,5.0,3,Action,2001,6.4,353
148,201889,tt0245182,0,0,en,2001-02-07,5.0,3,Adventure,2001,6.4,353
150,201889,tt0245182,0,0,en,2001-02-07,5.0,3,Crime,2001,6.4,353
151,201889,tt0245182,0,0,en,2001-02-07,5.0,3,Thriller,2001,6.4,353
152,12138,tt0233142,62000000,18720175,en,2001-02-23,5.834,534,Action,2001,5.9,47259
154,12138,tt0233142,62000000,18720175,en,2001-02-23,5.834,534,Crime,2001,5.9,47259
156,6073,tt0236493,57000000,147845033,en,2001-03-01,5.89,1219,Family,2001,6.1,109508
158,6073,tt0236493,57000000,147845033,en,2001-03-01,5.89,1219,Action,2001,6.1,109508
159,6073,tt0236493,57000000,147845033,en,2001-03-01,5.89,1219,Crime,2001,6.1,109508
160,39180,tt0250720,0,0,en,2001-03-02,5.9,188,Drama,2001,5.3,9419
161,10877,tt0242445,50000000,79958599,en,2001-03-13,5.609,380,Drama,2001,5.6,35823
164,853,tt0215750,68000000,96976270,en,2001-03-14,7.39,3036,Action,2001,7.6,264874
166,853,tt0215750,68000000,96976270,en,2001-03-14,7.39,3036,Family,2001,7.6,264874
167,853,tt0215750,68000000,96976270,en,2001-03-14,7.39,3036,Adventure,2001,7.6,264874
168,10054,tt0227538,35000000,147934180,en,2001-03-18,5.767,2971,Drama,2001,5.6,119335
169,10054,tt0227538,35000000,147934180,en,2001-03-18,5.767,2971,Adventure,2001,5.6,119335
170,10646,tt0246989,11000000,23430766,en,2001-03-30,5.2,211,Drama,2001,5.3,18850
171,4133,tt0221027,53000000,83282296,en,2001-04-04,7.369,3810,Crime,2001,7.5,262981
172,4133,tt0221027,53000000,83282296,en,2001-04-04,7.369,3810,Mystery,2001,7.5,262981
173,4133,tt0221027,53000000,83282296,en,2001-04-04,7.369,3810,Thriller,2001,7.5,262981
174,4133,tt0221027,53000000,83282296,en,2001-04-04,7.369,3810,Action,2001,7.5,262981
175,2043,tt0164334,60000000,105178561,en,2001-04-06,6.324,1547,Mystery,2001,6.4,88851
176,2043,tt0164334,60000000,105178561,en,2001-04-06,6.324,1547,Adventure,2001,6.4,88851
179,2043,tt0164334,60000000,105178561,en,2001-04-06,6.324,1547,Drama,2001,6.4,88851
182,10956,tt0245686,17700000,30987695,en,2001-04-10,5.601,628,Drama,2001,5.9,57805
184,1734,tt0209163,98000000,443280904,en,2001-05-04,6.3279999999999985,6073,Drama,2001,6.4,328459
186,1734,tt0209163,98000000,443280904,en,2001-05-04,6.3279999999999985,6073,Thriller,2001,6.4,328459
190,5852,tt0225071,53000000,29700000,en,2001-05-15,6.109,368,Adventure,2001,5.7,24689
191,5852,tt0225071,53000000,29700000,en,2001-05-15,6.109,368,Family,2001,5.7,24689
192,808,tt0126029,60000000,487853320,en,2001-05-18,7.707000000000002,14677,Thriller,2001,7.9,681129
193,808,tt0126029,60000000,487853320,en,2001-05-18,7.707000000000002,14677,Drama,2001,7.9,681129
194,808,tt0126029,60000000,487853320,en,2001-05-18,7.707000000000002,14677,Mystery,2001,7.9,681129
195,1018,tt0166924,15000000,20271129,en,2001-06-06,7.8,5223,Action,2001,7.9,359189
196,1018,tt0166924,15000000,20271129,en,2001-06-06,7.8,5223,Crime,2001,7.9,359189
197,1018,tt0166924,15000000,20271129,en,2001-06-06,7.8,5223,Thriller,2001,7.9,359189
