,tmdb_id,imdb_id,original_language,original_title,release_date,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,budget,revenue
0,134803,tt0221431,en,The Newcomers,1/01/2000,3.9,9,4.8,465,0,0
3,10384,tt0134983,en,Supernova,14/01/2000,5.0,312,4.8,18336,90000000,14828081
4,77434,tt0197096,en,What's Cooking?,20/01/2000,5.7,19,6.8,2811,0,0
6,2360,tt0195234,en,Saving Grace,24/01/2000,6.5,358,6.9,18719,10000000,26330482
8,4234,tt0134084,en,Scream 3,3/02/2000,6.0,2746,5.6,145879,40000000,161834276
11,2787,tt0134847,en,Pitch Black,18/02/2000,6.8,3846,7.1,242344,23000000,53187659
18,462,tt0195685,en,Erin Brockovich,17/03/2000,7.4,2647,7.4,200756,52000000,256271286
19,1900,tt0181865,en,Traffic,23/03/2000,7.1,1775,7.6,209139,48000000,207515725
20,60489,tt0214871,en,The Last Patrol,1/04/2000,4.0,23,3.6,1604,3000000,0
21,41165,tt0158033,en,Nora,5/04/2000,5.2,11,5.9,1784,0,0
22,18002,tt0199727,en,"Love, Honour and Obey",7/04/2000,5.8,47,6.4,5512,0,0
23,10479,tt0160797,en,Rules of Engagement,7/04/2000,6.2,582,6.4,48438,60000000,71000000
24,196280,tt0210149,en,Lakeboat,13/04/2000,5.1,10,6.0,713,0,0
25,16225,tt0119273,en,Heavy Metal 2000,19/04/2000,6.1,173,5.4,8827,15000000,0
26,3536,tt0141926,en,U-571,20/04/2000,6.5,1004,6.6,83258,62000000,127666415
27,889,tt0158622,en,The Flintstones in Viva Rock Vegas,28/04/2000,4.8,634,3.7,24048,83000000,59468275
28,25069,tt0217629,en,Looking for Alibrandi,4/05/2000,6.8,23,7.0,3388,0,0
29,98,tt0172495,en,Gladiator,4/05/2000,8.2,15960,8.5,1503201,103000000,465361176
31,10560,tt0210616,en,Center Stage,12/05/2000,6.9,291,6.6,21918,29000000,26385941
32,955,tt0120755,en,Mission: Impossible II,24/05/2000,6.1,5597,6.1,345856,125000000,546388105
34,9600,tt0208003,en,Big Momma's House,31/05/2000,5.8,1994,5.2,86818,30000000,173959438
35,55101,tt0186183,en,The Guilty,1/06/2000,5.6,62,6.1,3641,700000,0
36,479,tt0162650,en,Shaft,15/06/2000,6.0,1078,6.0,77928,46000000,107626125
37,9519,tt0221073,en,Chopper,21/06/2000,6.7,283,7.1,39648,0,236185
39,2133,tt0177971,en,The Perfect Storm,29/06/2000,6.4,1897,6.5,169950,120000000,325756637
42,16110,tt0205461,en,Thomas and the Magic Railroad,14/07/2000,5.5,58,4.1,4440,19000000,19748009
44,5551,tt0186566,en,Space Cowboys,4/08/2000,6.4,1166,6.5,82500,65000000,128884132
45,32834,tt0196106,en,MVP: Most Valuable Primate,11/08/2000,4.8,67,4.1,2610,4,1
46,46119,tt0197384,en,Crime + Punishment in Suburbia,25/08/2000,6.2,39,5.8,3444,0,26394
47,134,tt0190590,en,"O Brother, Where Art Thou?",30/08/2000,7.3,3529,7.7,315055,26000000,71870729
48,50225,tt0201899,en,A Rumor of Angels,8/09/2000,6.6,22,6.8,1594,0,0
50,1619,tt0202677,en,The Way of the Gun,8/09/2000,6.4,347,6.6,33945,8500000,19125401
52,16340,tt0213203,en,Rugrats in Paris: The Movie,14/09/2000,6.6,403,6.1,12881,30000000,103291131
53,786,tt0181875,en,Almost Famous,15/09/2000,7.5,2282,7.9,278902,60000000,47386287
54,10562,tt0164212,en,Under Suspicion,24/09/2000,6.1,382,6.4,26309,25000000,1308242
55,33379,tt0203540,en,Greenfingers,1/10/2000,6.4,50,6.8,6171,0,1443067
56,10461,tt0208988,en,Get Carter,6/10/2000,5.1,460,5.1,35089,63600000,19412993
58,641,tt0180093,en,Requiem for a Dream,6/10/2000,8.0,8569,8.3,845177,4500000,7390108
60,77,tt0209144,en,Memento,11/10/2000,8.2,12920,8.4,1240995,9000000,39723096
61,6521,tt0208874,en,The Contender,13/10/2000,6.7,196,6.9,24377,20000000,22428990
62,5257,tt0205873,en,The Dish,19/10/2000,6.7,155,7.2,16562,0,0
64,37302,tt0190524,en,Left Behind: The Movie,30/10/2000,4.3,105,4.3,9941,0,0
66,4327,tt0160127,en,Charlie's Angels,2/11/2000,5.8,3667,5.6,188962,92000000,264105545
67,9678,tt0185431,en,Little Nicky,10/11/2000,5.9,1551,5.3,107169,85000000,58292295
69,8358,tt0162222,en,Cast Away,22/12/2000,7.7,9925,7.8,596120,90000000,429632142
70,1493,tt0212346,en,Miss Congeniality,22/12/2000,6.5,3352,6.3,213751,45000000,212000000
76,1903,tt0259711,en,Vanilla Sky,22/01/2001,6.8,3530,6.9,270642,68000000,203388341
78,201889,tt0245182,en,Jewel,7/02/2001,5.0,3,6.4,354,0,0
79,12138,tt0233142,en,3000 Miles to Graceland,23/02/2001,5.8,534,5.9,47279,62000000,18720175
80,6073,tt0236493,en,The Mexican,1/03/2001,5.9,1219,6.1,109524,57000000,147845033
81,39180,tt0250720,en,See Spot Run,2/03/2001,5.9,188,5.3,9419,0,0
83,10877,tt0242445,en,Exit Wounds,13/03/2001,5.6,380,5.6,35827,50000000,79958599
84,853,tt0215750,en,Enemy at the Gates,14/03/2001,7.4,3036,7.6,264956,68000000,96976270
85,10054,tt0227538,en,Spy Kids,18/03/2001,5.8,2971,5.6,119378,35000000,147934180
87,10646,tt0246989,en,Tomcats,30/03/2001,5.2,211,5.3,18856,11000000,23430766
88,4133,tt0221027,en,Blow,4/04/2001,7.4,3810,7.5,263055,53000000,83282296
89,2043,tt0164334,en,Along Came a Spider,6/04/2001,6.3,1547,6.4,88925,60000000,105178561
90,10956,tt0245686,en,Joe Dirt,10/04/2001,5.6,628,5.9,57820,17700000,30987695
92,1734,tt0209163,en,The Mummy Returns,4/05/2001,6.3,6073,6.4,328590,98000000,443280904
93,5852,tt0225071,en,Angel Eyes,15/05/2001,6.1,368,5.7,24690,53000000,29700000
94,808,tt0126029,en,Shrek,18/05/2001,7.7,14676,7.9,681527,60000000,487853320
95,1018,tt0166924,en,Mulholland Drive,6/06/2001,7.8,5223,7.9,359378,15000000,20271129
96,9705,tt0244244,en,Swordfish,7/06/2001,6.2,2304,6.5,189373,102000000,147080413
97,1365,tt0285742,en,Monster's Ball,7/06/2001,6.8,808,7.1,90605,4000000,44909486
98,1995,tt0146316,en,Lara Croft: Tomb Raider,11/06/2001,5.9,5438,5.7,211230,115000000,274703340
99,9799,tt0232500,en,The Fast and the Furious,22/06/2001,6.9,8603,6.8,388726,38000000,207283925
100,644,tt0212720,en,A.I. Artificial Intelligence,29/06/2001,7.0,5419,7.2,310242,100000000,235926552
103,8835,tt0250494,en,Legally Blonde,13/07/2001,6.7,3341,6.4,222065,18000000,141774679
104,331,tt0163025,en,Jurassic Park III,18/07/2001,6.1,6199,5.9,325217,93000000,368780809
109,2770,tt0252866,en,American Pie 2,10/08/2001,6.2,4310,6.4,258544,30000000,287553595
111,13496,tt0244000,en,American Outlaws,17/08/2001,6.0,200,5.9,16750,35000000,13678913
112,53000,tt0271200,en,Soul Assassin,23/08/2001,5.3,8,4.3,1132,0,0
114,13777,tt0172543,en,He Died with a Felafel in His Hand,30/08/2001,7.1,110,7.0,3826,0,0
115,7501,tt0211465,en,Knockaround Guys,7/09/2001,5.9,280,6.1,24122,15000000,12000000
119,2176,tt0221218,en,The Glass House,14/09/2001,5.9,834,5.8,38085,30000000,23619609
121,9523,tt0259393,en,Lantana,4/10/2001,6.6,166,7.2,19782,0,0
123,9778,tt0240890,en,Serendipity,5/10/2001,6.9,1650,6.8,115242,28000000,77516304
124,2034,tt0139654,en,Training Day,5/10/2001,7.5,4974,7.7,440436,45000000,104876233
126,10836,tt0264508,en,Dagon,12/10/2001,6.3,298,6.2,19349,4800000,0
129,141,tt0246578,en,Donnie Darko,24/10/2001,7.8,10910,8.0,805175,6000000,7500000
130,11456,tt0249478,en,Domestic Disturbance,28/10/2001,5.8,344,5.6,27783,75000000,54249294
131,11088,tt0252503,en,Heist,9/11/2001,6.3,445,6.5,37699,35000000,28500000
136,161,tt0240772,en,Ocean's Eleven,7/12/2001,7.4,10192,7.7,578914,85000000,450717150
137,229202,tt0274861,en,Snowbound,10/12/2001,4.8,8,4.2,455,0,0
139,453,tt0268978,en,A Beautiful Mind,11/12/2001,7.9,8969,8.2,935403,60000000,313542341
140,120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,18/12/2001,8.4,22062,8.8,1878216,93000000,871368364
141,12589,tt0268397,en,Jimmy Neutron: Boy Genius,21/12/2001,5.9,757,6.0,35464,25000000,80936232
143,3003,tt0302739,en,The Lost World,25/12/2001,6.0,55,6.6,3191,0,0
146,29063,tt0300996,en,The Biggest Fan,1/01/2002,7.0,6,4.6,454,0,0
148,10229,tt0281358,en,A Walk to Remember,25/01/2002,7.7,3627,7.3,213083,11800000,47494916
149,9555,tt0252444,en,Rabbit-Proof Fence,4/02/2002,7.0,282,7.4,29177,0,0
150,41645,tt0309600,en,Menja d'amor,8/02/2002,5.7,16,6.1,1771,0,0
151,80306,tt0293357,en,Local Boys,23/02/2002,7.1,9,6.6,986,0,0
155,44528,tt0267736,en,The Matthew Shepard Story,16/03/2002,6.0,13,7.3,1491,0,0
157,9298,tt0284837,en,Ali G Indahouse,21/03/2002,6.0,1155,6.2,92331,7000000,25900000
158,36586,tt0187738,en,Blade II,22/03/2002,6.5,4063,6.7,221660,54000000,155010032
159,10611,tt0303714,en,Barbershop,1/04/2002,6.3,381,6.3,31870,12000000,77063924
160,11560,tt0257756,en,High Crimes,5/04/2002,6.3,656,6.3,44167,42000000,63781810
161,1537,tt0264472,en,Changing Lanes,7/04/2002,6.2,919,6.5,72494,45000000,94935764
163,380660,tt0281615,en,Turning Paige,12/04/2002,7.0,5,6.5,252,575100,0
165,20312,tt0165832,en,Interstate 60,13/04/2002,7.3,540,7.6,33768,7000000,0
166,48381,tt0303010,en,Savage Messiah,26/04/2002,5.3,16,6.3,1149,0,0
167,557,tt0145487,en,Spider-Man,1/05/2002,7.3,16575,7.4,821096,139000000,821708551
169,1957,tt0278435,en,Enough,21/05/2002,6.6,953,5.7,44461,38000000,51801187
172,9023,tt0166813,en,Spirit: Stallion of the Cimarron,24/05/2002,7.7,4019,7.2,77755,80000000,122563539
