tmdb_id,imdb_id,original_language,original_title,genre_id,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,providers,iso_country,country_name,budget,revenue,runtime
134803,tt0221431,en,The Newcomers,"['Drama', 'Family']",1/01/2000,False,False,2.339,3.9,9,4.8,465,['Amazon Prime Video'],US,United States of America,0,0,90
65397,tt0249840,en,Nightfall,"['Drama', 'Science Fiction', 'Thriller']",1/01/2000,False,False,1.555,3.3,4,3.3,463,['Stan'],US,United States of America,0,0,85
44388,tt0139388,en,It Had to Be You,"['Comedy', 'Romance']",1/01/2000,False,False,9.691,6.2,17,5.6,2265,['Amazon Prime Video'],US,United States of America,0,0,90
10384,tt0134983,en,Supernova,"['Science Fiction', 'Horror', 'Fantasy', 'Thriller']",14/01/2000,False,False,13.377,5.0,312,4.8,18336,['Amazon Prime Video'],CH,Switzerland,90000000,14828081,91
77434,tt0197096,en,What's Cooking?,"['Comedy', 'Drama']",20/01/2000,False,False,3.519,5.7,19,6.8,2811,['Amazon Prime Video'],US,United States of America,0,0,110
69936,tt0217749,en,The Courage to Love,"['Drama', 'History', 'Romance', 'TV Movie']",24/01/2000,False,False,2.038,6.5,4,6.2,506,['Amazon Prime Video'],CA,Canada,0,0,87
2360,tt0195234,en,Saving Grace,"['Crime', 'Comedy']",24/01/2000,False,False,12.216,6.5,358,6.9,18719,['Amazon Prime Video'],FR,France,10000000,26330482,93
368072,tt0227563,en,Stolen from the Heart,"['Drama', 'TV Movie']",26/01/2000,False,False,1.637,5.0,1,5.1,140,['Amazon Prime Video'],US,United States of America,0,0,90
4234,tt0134084,en,Scream 3,"['Horror', 'Mystery']",3/02/2000,False,False,38.557,6.0,2746,5.6,145879,['Stan'],US,United States of America,40000000,161834276,116
121940,tt0143344,en,Knockout,['Drama'],4/02/2000,False,False,3.158,3.0,2,4.1,209,['Amazon Prime Video'],US,United States of America,0,0,99
209084,tt0122161,en,Lured Innocence,"['Thriller', 'Drama']",12/02/2000,False,False,3.575,5.0,6,4.9,416,['Amazon Prime Video'],US,United States of America,0,0,97
2787,tt0134847,en,Pitch Black,"['Thriller', 'Science Fiction', 'Action']",18/02/2000,False,False,12.102,6.8,3846,7.1,242344,['Stan'],US,United States of America,23000000,53187659,108
29136,tt0210044,en,Flowers for Algernon,['Drama'],20/02/2000,False,False,3.596,5.3,21,6.6,1748,['Amazon Prime Video'],US,United States of America,0,0,91
