tmdb_id,imdb_id,original_language,original_title,genres,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,providers,netflix_provider,stan_provider,amazon_provider,imdb_rating,imdb_votes,iso_country,country_name,budget,revenue,runtime
55311.0,tt9230920,en,Before the Flying Circus,Documentary,1/07/2000,False,False,2.302,8.5,4.0,Netflix,Yes,No,No,7.3,178.0,GB,United Kingdom,0,0,55
173093.0,tt0280744,en,Living in Fear,"Drama,Mystery,Thriller",31/12/2000,False,False,1.335,4.7,3.0,Amazon Prime Video,No,No,Yes,5.1,370.0,US,United States of America,0,0,110
24811.0,tt0212910,en,Delivering Milo,"Comedy,Drama,Fantasy",4/01/2001,False,False,6.19,5.4,35.0,Amazon Prime Video,No,Yes,No,5.8,1292.0,US,United States of America,0,0,94
383070.0,tt0253247,en,Mind Games,"Crime,Drama,Mystery",6/01/2001,False,False,1.815,7.0,1.0,Amazon Prime Video,No,No,Yes,6.5,360.0,GB,United Kingdom,0,0,120
9816.0,tt0206275,en,Save the Last Dance,"Drama,Music,Romance",12/01/2001,False,False,18.408,6.6,1137.0,Stan,No,Yes,No,6.2,63267.0,US,United States of America,13000000,131706809,113
13356.0,tt0221074,en,Christmas in the Clouds,"Comedy,Family,Romance",21/01/2001,False,False,3.712,6.4,13.0,Amazon Prime Video,No,No,Yes,6.4,842.0,US,United States of America,3000000,0,96
1903.0,tt0259711,en,Vanilla Sky,"Fantasy,Mystery,Romance",22/01/2001,False,False,20.59,6.8,3530.0,Stan,Yes,No,No,6.9,270642.0,ES,Spain,68000000,203388341,136
201889.0,tt0245182,en,Jewel,Drama,7/02/2001,False,False,2.724,5.0,3.0,Amazon Prime Video,No,Yes,No,6.4,354.0,US,United States of America,0,0,120
12138.0,tt0233142,en,3000 Miles to Graceland,"Action,Comedy,Crime",23/02/2001,False,False,15.283,5.8,534.0,Netflix,No,Yes,No,5.9,47279.0,US,United States of America,62000000,18720175,125
6073.0,tt0236493,en,The Mexican,"Adventure,Comedy,Crime",1/03/2001,False,False,16.304,5.9,1219.0,Stan,No,No,Yes,6.1,109524.0,MX,Mexico,57000000,147845033,123
39180.0,tt0250720,en,See Spot Run,"Action,Comedy,Crime",2/03/2001,False,False,13.907,5.9,188.0,Stan,No,Yes,No,5.3,9419.0,AU,Australia,0,0,94
147967.0,tt0269408,en,The Journeyman,Western,10/03/2001,False,False,2.431,5.0,1.0,Amazon Prime Video,No,Yes,No,5.1,336.0,US,United States of America,0,0,93
10877.0,tt0242445,en,Exit Wounds,"Action,Crime,Thriller",13/03/2001,False,False,15.596,5.6,380.0,Stan,Yes,No,No,5.6,35827.0,CA,Canada,50000000,79958599,101
853.0,tt0215750,en,Enemy at the Gates,"Action,Drama,War",14/03/2001,False,False,46.701,7.4,3036.0,Amazon Prime Video,Yes,No,No,7.6,264956.0,IE,Ireland,68000000,96976270,131
