id,original_language,original_title,genre_ids,release_date,video,adult,popularity,vote_average,vote_count,providers,iso_country,country_name,budget,revenue,runtime
1011182,en,Close Encounters: Proof of Alien Contact,[99],1/01/2000,FALSE,FALSE,0.6,5,1,['Amazon Prime Video'],Null,Null,Null,Null,Null
923893,en,Brad Pitt & Jennifer Aniston: Hollywood's Couple of the Year,[],1/01/2000,FALSE,FALSE,0.655,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
245955,en,The Amish: A People of Preservation,[],1/01/2000,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
134803,en,The Newcomers,"[18, 10751]",1/01/2000,FALSE,FALSE,2.339,3.9,9,['Amazon Prime Video'],US,United States of America,0,0,90
65397,en,Nightfall,"[18, 878, 53]",1/01/2000,FALSE,FALSE,1.555,3.3,4,['Stan'],US,United States of America,0,0,85
44388,en,It Had to Be You,"[35, 10749]",1/01/2000,FALSE,FALSE,9.691,6.2,17,['Amazon Prime Video'],US,United States of America,0,0,90
656436,en,Summer in the Suburbs,"[80, 18]",10/01/2000,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
88007,en,The Extreme Adventures of Super Dave,"[28, 35]",11/01/2000,FALSE,FALSE,2.948,4.3,14,['Amazon Prime Video'],Null,Null,Null,Null,Null
10384,en,Supernova,"[878, 27, 14, 53]",14/01/2000,FALSE,FALSE,13.377,5,312,['Amazon Prime Video'],CH,Switzerland,90000000,14828081,91
252687,en,Hell's Kitchen: A New York Neighborhood,[],15/01/2000,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
77434,en,What's Cooking?,"[35, 18]",20/01/2000,FALSE,FALSE,3.519,5.7,19,['Amazon Prime Video'],US,United States of America,0,0,110
69936,en,The Courage to Love,"[18, 36, 10749, 10770]",24/01/2000,FALSE,FALSE,2.038,6.5,4,['Amazon Prime Video'],CA,Canada,0,0,87
2360,en,Saving Grace,"[80, 35]",24/01/2000,FALSE,FALSE,12.216,6.5,358,['Amazon Prime Video'],FR,France,10000000,26330482,93
368072,en,Stolen from the Heart,"[18, 10770]",26/01/2000,FALSE,FALSE,1.637,5,1,['Amazon Prime Video'],US,United States of America,0,0,90
4234,en,Scream 3,"[27, 9648]",3/02/2000,FALSE,FALSE,38.557,6,2746,['Stan'],US,United States of America,40000000,161834276,116
121940,en,Knockout,[18],4/02/2000,FALSE,FALSE,3.158,3,2,['Amazon Prime Video'],US,United States of America,0,0,99
209084,en,Lured Innocence,"[53, 18]",12/02/2000,FALSE,FALSE,3.575,5,6,['Amazon Prime Video'],US,United States of America,0,0,97
2787,en,Pitch Black,"[53, 878, 28]",18/02/2000,FALSE,FALSE,12.102,6.8,3846,['Stan'],US,United States of America,23000000,53187659,108
29136,en,Flowers for Algernon,[18],20/02/2000,FALSE,FALSE,3.596,5.3,21,['Amazon Prime Video'],US,United States of America,0,0,91
31875,en,Last Resort,"[10749, 18]",23/02/2000,FALSE,FALSE,3.096,6.6,19,['Amazon Prime Video'],GB,United Kingdom,0,0,73
16874,en,The Wog Boy,[35],24/02/2000,FALSE,FALSE,2.606,5.3,20,['Stan'],AU,Australia,0,0,92
730835,en,Prime Evil,[99],25/02/2000,FALSE,FALSE,0.851,0,0,['Amazon Prime Video'],ZA,South Africa,0,0,53
446926,en,Catch a Falling Star,"[10749, 35, 10770]",5/03/2000,FALSE,FALSE,2.822,6.7,3,['Amazon Prime Video'],CA,Canada,0,0,0
9532,en,Final Destination,[27],17/03/2000,FALSE,FALSE,66.943,6.6,4711,['Netflix'],US,United States of America,23000000,112880294,98
462,en,Erin Brockovich,[18],17/03/2000,FALSE,FALSE,27.033,7.4,2647,['Stan'],US,United States of America,52000000,256271286,131
573813,en,A Tale of Two Bunnies,[10770],20/03/2000,FALSE,FALSE,2.892,6.3,3,['Amazon Prime Video'],Null,Null,Null,Null,Null
169440,en,Murder Most Likely,[],22/03/2000,FALSE,FALSE,1.094,4.7,3,['Amazon Prime Video'],Null,Null,Null,Null,Null
1900,en,Traffic,"[53, 18, 80]",23/03/2000,FALSE,FALSE,22.675,7.1,1775,['Stan'],DE,Germany,48000000,207515725,147
60489,en,The Last Patrol,[28],1/04/2000,FALSE,FALSE,4.804,4,23,['Amazon Prime Video'],IL,Israel,3000000,0,95
41165,en,Nora,[18],5/04/2000,FALSE,FALSE,2.479,5.2,11,['Amazon Prime Video'],DE,Germany,0,0,106
18002,en,"Love, Honour and Obey","[28, 35, 53, 80]",7/04/2000,FALSE,FALSE,3.616,5.8,47,['Amazon Prime Video'],GB,United Kingdom,0,0,103
10479,en,Rules of Engagement,"[10752, 28, 12, 18, 36]",7/04/2000,FALSE,FALSE,18.88,6.2,582,['Stan'],US,United States of America,60000000,71000000,128
