id,providers
1011182,['Amazon Prime Video']
923893,['Amazon Prime Video']
245955,['Amazon Prime Video']
134803,['Amazon Prime Video']
65397,['Stan']
44388,['Amazon Prime Video']
656436,['Amazon Prime Video']
88007,['Amazon Prime Video']
10384,['Amazon Prime Video']
252687,['Amazon Prime Video']
77434,['Amazon Prime Video']
69936,['Amazon Prime Video']
2360,['Amazon Prime Video']
368072,['Amazon Prime Video']
4234,['Stan']
121940,['Amazon Prime Video']
209084,['Amazon Prime Video']
2787,['Stan']
29136,['Amazon Prime Video']
31875,['Amazon Prime Video']
16874,['Stan']
730835,['Amazon Prime Video']
446926,['Amazon Prime Video']
9532,['Netflix']
462,['Stan']
573813,['Amazon Prime Video']
169440,['Amazon Prime Video']
1900,['Stan']
60489,['Amazon Prime Video']
41165,['Amazon Prime Video']
18002,['Amazon Prime Video']
10479,['Stan']
196280,['Amazon Prime Video']
16225,['Amazon Prime Video']
3536,['Stan']
38274,['Amazon Prime Video']
889,['Netflix']
25069,['Netflix']
98,['Amazon Prime Video']
52790,['Amazon Prime Video']
299024,['Amazon Prime Video']
10560,['Netflix']
71569,['Amazon Prime Video']
955,['Stan']
81277,['Amazon Prime Video']
9600,['Amazon Prime Video']
55101,['Amazon Prime Video']
41644,['Amazon Prime Video']
479,['Stan']
9519,['Stan']
103688,['Amazon Prime Video']
2133,['Stan']
55311,['Netflix']
4247,['Stan']
16110,['Amazon Prime Video']
40249,['Amazon Prime Video']
5551,['Stan']
32834,['Amazon Prime Video']
46119,['Amazon Prime Video']
494256,['Amazon Prime Video']
134,['Netflix']
50225,['Amazon Prime Video']
38132,['Amazon Prime Video']
1619,['Stan']
89473,['Stan']
16340,['Stan']
786,['Stan']
10562,['Netflix']
279700,['Amazon Prime Video']
33379,['Amazon Prime Video']
10461,['Netflix']
1597,"['Netflix', 'Amazon Prime Video', 'Stan']"
641,"['Netflix', 'Stan']"
143524,['Amazon Prime Video']
77,['Amazon Prime Video']
6521,['Amazon Prime Video']
5257,['Netflix']
1636,['Amazon Prime Video']
37302,['Amazon Prime Video']
76176,['Amazon Prime Video']
26245,['Amazon Prime Video']
4327,['Stan']
318529,['Amazon Prime Video']
9678,['Netflix']
8871,"['Amazon Prime Video', 'Stan']"
76650,['Amazon Prime Video']
8358,"['Amazon Prime Video', 'Stan']"
1493,['Stan']
173093,['Amazon Prime Video']
548337,['Amazon Prime Video']
430955,['Amazon Prime Video']
24811,['Amazon Prime Video']
383070,['Amazon Prime Video']
9816,['Stan']
638550,['Amazon Prime Video']
638549,['Amazon Prime Video']
13356,['Amazon Prime Video']
1903,['Stan']
48834,['Amazon Prime Video']
211420,['Amazon Prime Video']
201889,['Amazon Prime Video']
12138,['Netflix']
6073,['Stan']
39180,['Stan']
101358,['Amazon Prime Video']
147967,['Amazon Prime Video']
10877,['Stan']
853,['Amazon Prime Video']
10054,['Stan']
18017,['Netflix']
10646,['Netflix']
654209,['Amazon Prime Video']
4133,['Netflix']
2043,"['Netflix', 'Stan']"
10956,['Netflix']
634,['Stan']
36963,['Netflix']
1734,"['Netflix', 'Stan']"
5852,['Netflix']
808,"['Netflix', 'Amazon Prime Video', 'Stan']"
1018,['Stan']
9705,['Stan']
1365,['Stan']
1995,['Amazon Prime Video']
962776,['Amazon Prime Video']
60495,['Amazon Prime Video']
946589,['Amazon Prime Video']
9799,"['Amazon Prime Video', 'Stan']"
644,['Stan']
10992,"['Amazon Prime Video', 'Stan']"
4248,['Stan']
8835,['Amazon Prime Video']
331,['Amazon Prime Video']
55181,['Amazon Prime Video']
72869,['Amazon Prime Video']
61698,['Amazon Prime Video']
79053,['Amazon Prime Video']
2770,['Stan']
286369,['Amazon Prime Video']
13496,['Netflix']
53000,['Amazon Prime Video']
15104,['Amazon Prime Video']
13777,['Stan']
7501,['Netflix']
62476,['Amazon Prime Video']
1049417,['Amazon Prime Video']
456600,['Amazon Prime Video']
57558,['Amazon Prime Video']
2176,['Netflix']
15167,['Stan']
9523,['Stan']
57743,['Amazon Prime Video']
51438,['Amazon Prime Video']
9778,['Stan']
2034,['Stan']
212336,['Amazon Prime Video']
10836,['Amazon Prime Video']
50573,['Amazon Prime Video']
129187,['Amazon Prime Video']
141,['Stan']
11456,['Stan']
11088,['Netflix']
35824,['Amazon Prime Video']
213496,['Amazon Prime Video']
229214,['Amazon Prime Video']
202742,['Amazon Prime Video']
292664,['Amazon Prime Video']
58786,['Amazon Prime Video']
161,"['Netflix', 'Stan']"
229202,['Amazon Prime Video']
8489,['Netflix']
453,['Stan']
167688,['Amazon Prime Video']
120,"['Amazon Prime Video', 'Stan']"
12589,['Stan']
12312,['Amazon Prime Video']
3003,['Amazon Prime Video']
704914,['Amazon Prime Video']
704784,['Amazon Prime Video']
301393,['Amazon Prime Video']
272896,['Amazon Prime Video']
75765,['Amazon Prime Video']
63502,['Amazon Prime Video']
29063,['Amazon Prime Video']
82961,['Amazon Prime Video']
10229,['Netflix']
9555,"['Netflix', 'Stan']"
41645,['Amazon Prime Video']
80306,['Amazon Prime Video']
13830,['Amazon Prime Video']
167028,['Amazon Prime Video']
27018,['Netflix']
44528,['Amazon Prime Video']
183756,['Amazon Prime Video']
9298,['Stan']
36586,['Netflix']
112716,['Amazon Prime Video']
10611,['Amazon Prime Video']
11560,['Amazon Prime Video']
1537,['Stan']
570667,['Amazon Prime Video']
380660,['Amazon Prime Video']
50944,['Amazon Prime Video']
20312,['Amazon Prime Video']
48381,['Amazon Prime Video']
557,['Stan']
2251,['Amazon Prime Video']
1957,['Netflix']
214684,['Amazon Prime Video']
60109,['Netflix']
9023,['Stan']
15530,['Amazon Prime Video']
4614,"['Amazon Prime Video', 'Stan']"
12079,['Amazon Prime Video']
9583,['Netflix']
13442,['Amazon Prime Video']
9637,['Netflix']
2501,['Stan']
21518,['Amazon Prime Video']
180,"['Netflix', 'Amazon Prime Video', 'Stan']"
159795,['Amazon Prime Video']
2022,"['Netflix', 'Amazon Prime Video']"
255419,['Amazon Prime Video']
14672,"['Netflix', 'Stan']"
111851,['Amazon Prime Video']
8665,['Stan']
818,['Stan']
13908,['Netflix']
9488,['Stan']
13439,"['Netflix', 'Amazon Prime Video']"
92384,['Amazon Prime Video']
9573,['Netflix']
7451,['Amazon Prime Video']
96015,['Amazon Prime Video']
1360,['Stan']
13437,['Amazon Prime Video']
41316,['Amazon Prime Video']
423,['Netflix']
11013,['Stan']
618824,['Amazon Prime Video']
64801,['Amazon Prime Video']
15015,['Stan']
9533,['Netflix']
1809,['Stan']
33868,['Amazon Prime Video']
6382,['Stan']
565,['Stan']
662171,['Amazon Prime Video']
19973,['Netflix']
9645,['Stan']
29229,['Amazon Prime Video']
161912,['Amazon Prime Video']
111738,['Netflix']
34079,['Stan']
77006,['Amazon Prime Video']
36669,"['Amazon Prime Video', 'Stan']"
1574,['Stan']
7303,"['Netflix', 'Stan']"
201,['Stan']
38685,['Amazon Prime Video']
3131,['Stan']
640,"['Netflix', 'Amazon Prime Video', 'Stan']"
121,['Amazon Prime Video']
2642,['Stan']
14317,['Amazon Prime Video']
544105,['Amazon Prime Video']
483951,['Amazon Prime Video']
299937,['Amazon Prime Video']
238079,['Amazon Prime Video']
192830,['Netflix']
69217,['Amazon Prime Video']
56698,['Amazon Prime Video']
47862,['Amazon Prime Video']
35980,['Amazon Prime Video']
322,['Stan']
47517,['Amazon Prime Video']
453895,['Amazon Prime Video']
37348,['Amazon Prime Video']
11078,['Netflix']
10628,['Netflix']
10727,['Netflix']
9358,['Netflix']
24355,['Amazon Prime Video']
9919,"['Amazon Prime Video', 'Stan']"
546059,['Amazon Prime Video']
9480,['Amazon Prime Video']
11635,['Stan']
26266,['Amazon Prime Video']
30074,['Stan']
9567,['Netflix']
20,['Amazon Prime Video']
288930,['Amazon Prime Video']
55735,['Amazon Prime Video']
6171,['Stan']
16356,['Amazon Prime Video']
9341,"['Netflix', 'Stan']"
8409,['Netflix']
45382,['Amazon Prime Video']
15603,"['Netflix', 'Stan']"
9506,['Stan']
2662,['Netflix']
10743,['Stan']
259844,['Amazon Prime Video']
10708,"['Netflix', 'Stan']"
200703,['Amazon Prime Video']
30129,['Amazon Prime Video']
22081,['Amazon Prime Video']
604,['Stan']
590181,['Amazon Prime Video']
9902,['Stan']
9654,"['Netflix', 'Stan']"
41896,['Amazon Prime Video']
584,"['Amazon Prime Video', 'Stan']"
321,['Amazon Prime Video']
11375,['Netflix']
20694,['Stan']
9471,['Stan']
10327,['Amazon Prime Video']
296,['Stan']
83023,['Amazon Prime Video']
65143,['Amazon Prime Video']
8961,['Stan']
67214,['Amazon Prime Video']
1996,"['Netflix', 'Amazon Prime Video', 'Stan']"
15935,['Stan']
12279,['Stan']
1693,['Amazon Prime Video']
8273,['Stan']
8046,['Netflix']
9257,['Netflix']
11547,['Stan']
10610,['Netflix']
11775,['Netflix']
9282,['Amazon Prime Video']
508,"['Netflix', 'Stan']"
432628,['Amazon Prime Video']
10159,['Netflix']
15016,['Stan']
21956,['Stan']
444318,['Amazon Prime Video']
15271,['Stan']
1584,"['Netflix', 'Amazon Prime Video', 'Stan']"
10719,['Stan']
438345,['Amazon Prime Video']
684731,['Stan']
52193,['Amazon Prime Video']
4997,['Stan']
30141,['Stan']
4256,['Stan']
605,['Stan']
143481,['Stan']
13537,['Stan']
418031,['Amazon Prime Video']
10588,['Stan']
12146,['Netflix']
9562,['Stan']
51046,['Amazon Prime Video']
122,"['Amazon Prime Video', 'Stan']"
418217,['Amazon Prime Video']
11820,['Stan']
171711,['Stan']
22451,['Amazon Prime Video']
2289,['Stan']
504,['Amazon Prime Video']
9620,['Stan']
108480,['Amazon Prime Video']
705986,['Amazon Prime Video']
376031,['Stan']
272570,['Amazon Prime Video']
272312,['Amazon Prime Video']
192977,['Netflix']
112000,['Amazon Prime Video']
101884,['Amazon Prime Video']
36086,['Amazon Prime Video']
14264,['Amazon Prime Video']
2319,['Amazon Prime Video']
651961,['Amazon Prime Video']
9372,['Amazon Prime Video']
21301,['Amazon Prime Video']
51116,['Amazon Prime Video']
4553,['Stan']
80,['Stan']
1824,['Stan']
256761,['Amazon Prime Video']
9352,['Amazon Prime Video']
615,['Stan']
18442,['Amazon Prime Video']
9384,['Stan']
11081,['Stan']
11024,['Netflix']
9541,['Stan']
11137,['Netflix']
1487,['Netflix']
162316,['Amazon Prime Video']
33459,['Amazon Prime Video']
14442,['Stan']
10591,['Amazon Prime Video']
10096,['Netflix']
9509,['Amazon Prime Video']
565495,['Amazon Prime Video']
10625,"['Amazon Prime Video', 'Stan']"
652,['Netflix']
19294,['Amazon Prime Video']
16617,['Netflix']
11025,['Netflix']
19592,['Amazon Prime Video']
809,"['Netflix', 'Amazon Prime Video', 'Stan']"
518597,['Amazon Prime Video']
12657,['Amazon Prime Video']
499969,['Netflix']
312047,['Amazon Prime Video']
101273,['Amazon Prime Video']
87967,['Amazon Prime Video']
9890,['Stan']
8193,['Stan']
2789,['Stan']
544444,['Amazon Prime Video']
10204,['Stan']
594,['Stan']
12902,['Stan']
12153,['Netflix']
11036,['Stan']
558,['Netflix']
8699,"['Netflix', 'Amazon Prime Video', 'Stan']"
27808,['Amazon Prime Video']
1003320,['Amazon Prime Video']
48454,['Amazon Prime Video']
98082,['Amazon Prime Video']
9893,['Amazon Prime Video']
11247,['Netflix']
93115,['Amazon Prime Video']
2502,['Stan']
49865,['Amazon Prime Video']
401,['Stan']
14462,['Stan']
1538,"['Netflix', 'Amazon Prime Video', 'Stan']"
83,['Stan']
11026,['Netflix']
10762,['Netflix']
76425,['Amazon Prime Video']
9759,['Netflix']
181504,['Amazon Prime Video']
10555,['Netflix']
13969,['Amazon Prime Video']
215355,['Amazon Prime Video']
15165,['Stan']
46869,['Amazon Prime Video']
176,['Stan']
41303,['Amazon Prime Video']
3989,['Stan']
270628,['Amazon Prime Video']
16358,['Amazon Prime Video']
4380,['Stan']
34672,['Amazon Prime Video']
589431,['Amazon Prime Video']
298843,['Amazon Prime Video']
45119,['Amazon Prime Video']
10113,['Amazon Prime Video']
54408,['Netflix']
48643,['Amazon Prime Video']
9801,['Stan']
5255,"['Netflix', 'Stan']"
10589,['Netflix']
11836,"['Netflix', 'Stan']"
510831,['Amazon Prime Video']
105681,['Amazon Prime Video']
13673,['Netflix']
163,['Stan']
217720,['Netflix']
73416,['Amazon Prime Video']
61853,['Amazon Prime Video']
723176,['Amazon Prime Video']
70,['Netflix']
47601,['Amazon Prime Video']
11774,['Stan']
26962,['Amazon Prime Video']
693,"['Netflix', 'Amazon Prime Video', 'Stan']"
96141,['Amazon Prime Video']
836384,['Amazon Prime Video']
733915,['Amazon Prime Video']
723326,['Amazon Prime Video']
639884,['Stan']
308619,['Amazon Prime Video']
278941,['Amazon Prime Video']
83791,['Amazon Prime Video']
61359,['Amazon Prime Video']
31012,['Amazon Prime Video']
24615,['Stan']
18428,['Amazon Prime Video']
18070,['Amazon Prime Video']
701251,['Amazon Prime Video']
32671,['Amazon Prime Video']
7214,['Netflix']
21078,['Stan']
14166,['Amazon Prime Video']
11354,['Amazon Prime Video']
53905,['Amazon Prime Video']
12142,['Amazon Prime Video']
62868,['Amazon Prime Video']
8968,['Stan']
6961,['Stan']
