,adult,genre_id,tmdb_id,imdb_id,budget,revenue,original_title,original_language,popularity,release_date,title,vote_average,vote_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
0,False,['Documentary'],1011182,tt2032414,0,0,Close Encounters: Proof of Alien Contact,en,0.6,2000-01-01,Close Encounters: Proof of Alien Contact,5.0,1,Documentary,,,,,
1,False,[],923893,tt12179456,0,0,Brad Pitt & Jennifer Aniston: Hollywood's Couple of the Year,en,0.655,2000-01-01,Brad Pitt & Jennifer Aniston: Hollywood's Couple of the Year,0.0,0,,,,,,
2,False,[],245955,tt1795669,0,0,The Amish: A People of Preservation,en,0.6,2000-01-01,The Amish: A People of Preservation,0.0,0,,,,,,
3,False,"['Drama', 'Family']",134803,tt0221431,0,0,The Newcomers,en,2.339,2000-01-01,The Newcomers,3.9,9,Drama,Family,,,,
4,False,"['Drama', 'Science Fiction', 'Thriller']",65397,tt0249840,0,0,Nightfall,en,1.555,2000-01-01,Nightfall,3.2,4,Drama,Science Fiction,Thriller,,,
5,False,"['Comedy', 'Romance']",44388,tt0139388,0,0,It Had to Be You,en,9.691,2000-01-01,It Had to Be You,6.206,17,Comedy,Romance,,,,
6,False,"['Crime', 'Drama']",656436,tt0218643,0,0,Summer in the Suburbs,en,0.6,2000-01-10,Summer in the Suburbs,0.0,0,Crime,Drama,,,,
7,False,"['Action', 'Comedy']",88007,tt0144096,0,0,The Extreme Adventures of Super Dave,en,2.948,2000-01-11,The Extreme Adventures of Super Dave,4.2,14,Action,Comedy,,,,
8,False,"['Science Fiction', 'Horror', 'Fantasy', 'Thriller']",10384,tt0134983,90000000,14828081,Supernova,en,13.377,2000-01-14,Supernova,4.954,312,Science Fiction,Horror,Fantasy,Thriller,,
9,False,[],252687,tt0358364,0,0,Hell's Kitchen: A New York Neighborhood,en,0.6,2000-01-15,Hell's Kitchen: A New York Neighborhood,0.0,0,,,,,,
10,False,"['Comedy', 'Drama']",77434,tt0197096,0,0,What's Cooking?,en,3.519,2000-01-20,What's Cooking?,5.684,19,Comedy,Drama,,,,
11,False,"['Drama', 'History', 'Romance', 'TV Movie']",69936,tt0217749,0,0,The Courage to Love,en,2.038,2000-01-24,The Courage to Love,6.5,4,Drama,History,Romance,TV Movie,,
12,False,"['Crime', 'Comedy']",2360,tt0195234,10000000,26330482,Saving Grace,en,12.216,2000-01-24,Saving Grace,6.504,358,Crime,Comedy,,,,
13,False,"['Drama', 'TV Movie']",368072,tt0227563,0,0,Stolen from the Heart,en,1.637,2000-01-26,Stolen from the Heart,5.0,1,Drama,TV Movie,,,,
14,False,"['Horror', 'Mystery']",4234,tt0134084,40000000,161834276,Scream 3,en,38.557,2000-02-03,Scream 3,5.951,2746,Horror,Mystery,,,,
15,False,['Drama'],121940,tt0143344,0,0,Knockout,en,3.158,2000-02-04,Knockout,3.0,2,Drama,,,,,
16,False,"['Thriller', 'Drama']",209084,tt0122161,0,0,Lured Innocence,en,3.575,2000-02-12,Lured Innocence,5.0,6,Thriller,Drama,,,,
17,False,"['Thriller', 'Science Fiction', 'Action']",2787,tt0134847,23000000,53187659,Pitch Black,en,12.102,2000-02-18,Pitch Black,6.831,3846,Thriller,Science Fiction,Action,,,
18,False,['Drama'],29136,tt0210044,0,0,Flowers for Algernon,en,3.596,2000-02-20,Flowers for Algernon,5.3,21,Drama,,,,,
19,False,"['Romance', 'Drama']",31875,tt0258761,0,0,Last Resort,en,3.096,2000-02-23,Last Resort,6.6,19,Romance,Drama,,,,
20,False,['Comedy'],16874,tt0216417,0,0,The Wog Boy,en,2.606,2000-02-24,The Wog Boy,5.3,20,Comedy,,,,,
21,False,['Documentary'],730835,tt12878352,0,0,Prime Evil,en,0.851,2000-02-25,Prime Evil,0.0,0,Documentary,,,,,
22,False,"['Romance', 'Comedy', 'TV Movie']",446926,tt0175245,0,0,Catch a Falling Star,en,2.822,2000-03-05,Catch a Falling Star,6.7,3,Romance,Comedy,TV Movie,,,
23,False,['Horror'],9532,tt0195714,23000000,112880294,Final Destination,en,66.943,2000-03-17,Final Destination,6.569,4711,Horror,,,,,
24,False,['Drama'],462,tt0195685,52000000,256271286,Erin Brockovich,en,27.033,2000-03-17,Erin Brockovich,7.41,2647,Drama,,,,,
25,False,['TV Movie'],573813,tt0224692,0,0,A Tale of Two Bunnies,en,2.892,2000-03-20,A Tale of Two Bunnies,6.3,3,TV Movie,,,,,
26,False,[],169440,tt0216928,0,0,Murder Most Likely,en,1.094,2000-03-22,Murder Most Likely,4.667,3,,,,,,
27,False,"['Thriller', 'Drama', 'Crime']",1900,tt0181865,48000000,207515725,Traffic,en,22.675,2000-03-23,Traffic,7.059,1775,Thriller,Drama,Crime,,,
28,False,['Action'],60489,tt0214871,3000000,0,The Last Patrol,en,4.804,2000-04-01,The Last Patrol,4.0,23,Action,,,,,
29,False,['Drama'],41165,tt0158033,0,0,Nora,en,2.479,2000-04-05,Nora,5.2,11,Drama,,,,,
30,False,"['Action', 'Comedy', 'Thriller', 'Crime']",18002,tt0199727,0,0,"Love, Honour and Obey",en,3.616,2000-04-07,"Love, Honour and Obey",5.8,47,Action,Comedy,Thriller,Crime,,
31,False,"['War', 'Action', 'Adventure', 'Drama', 'History']",10479,tt0160797,60000000,71000000,Rules of Engagement,en,18.88,2000-04-07,Rules of Engagement,6.212,582,War,Action,Adventure,Drama,History,
32,False,['Drama'],196280,tt0210149,0,0,Lakeboat,en,3.602,2000-04-13,Lakeboat,5.1,10,Drama,,,,,
33,False,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Science Fiction']",16225,tt0119273,15000000,0,Heavy Metal 2000,en,11.148,2000-04-19,Heavy Metal 2000,6.078,173,Action,Adventure,Animation,Fantasy,Science Fiction,
34,False,"['War', 'Drama', 'Action', 'Thriller']",3536,tt0141926,62000000,127666415,U-571,en,25.01,2000-04-20,U-571,6.451,1004,War,Drama,Action,Thriller,,
35,False,"['Comedy', 'Romance']",38274,tt0177215,0,0,Seven Girlfriends,en,2.76,2000-04-21,Seven Girlfriends,4.7,3,Comedy,Romance,,,,
36,False,"['Comedy', 'Family', 'Romance']",889,tt0158622,83000000,59468275,The Flintstones in Viva Rock Vegas,en,23.184,2000-04-28,The Flintstones in Viva Rock Vegas,4.807,634,Comedy,Family,Romance,,,
37,False,"['Drama', 'Comedy', 'Romance']",25069,tt0217629,0,0,Looking for Alibrandi,en,2.802,2000-05-04,Looking for Alibrandi,6.826,23,Drama,Comedy,Romance,,,
38,False,"['Action', 'Drama', 'Adventure']",98,tt0172495,103000000,465361176,Gladiator,en,65.685,2000-05-04,Gladiator,8.2,15962,Action,Drama,Adventure,,,
39,False,['Drama'],52790,tt0190255,0,619042,The Basket,en,2.543,2000-05-05,The Basket,6.9,8,Drama,,,,,
40,False,['Drama'],299024,tt0240894,0,0,Sharing the Secret,en,4.35,2000-05-10,Sharing the Secret,6.5,12,Drama,,,,,
41,False,"['Drama', 'Music']",10560,tt0210616,29000000,26385941,Center Stage,en,14.645,2000-05-12,Center Stage,6.94,291,Drama,Music,,,,
42,False,"['Documentary', 'Science Fiction']",71569,,0,0,Close Encounters: Proof of Alien Contact,en,0.6,2000-05-16,Close Encounters: Proof of Alien Contact,0.0,0,Documentary,Science Fiction,,,,
43,False,"['Adventure', 'Action', 'Thriller']",955,tt0120755,125000000,546388105,Mission: Impossible II,en,35.355,2000-05-24,Mission: Impossible II,6.109,5598,Adventure,Action,Thriller,,,
44,False,['Thriller'],81277,tt0228180,0,0,Dangerous Attraction,en,5.936,2000-05-30,Dangerous Attraction,5.083,6,Thriller,,,,,
45,False,"['Crime', 'Comedy']",9600,tt0208003,30000000,173959438,Big Momma's House,en,30.103,2000-05-31,Big Momma's House,5.808,1994,Crime,Comedy,,,,
46,False,"['Crime', 'Drama', 'Thriller']",55101,tt0186183,700000,0,The Guilty,en,7.318,2000-06-01,The Guilty,5.621,62,Crime,Drama,Thriller,,,
47,False,['Drama'],41644,tt0229397,0,0,Forgive and Forget,en,3.005,2000-06-12,Forgive and Forget,5.769,13,Drama,,,,,
48,False,"['Action', 'Adventure', 'Crime', 'Thriller']",479,tt0162650,46000000,107626125,Shaft,en,22.3,2000-06-15,Shaft,5.972,1078,Action,Adventure,Crime,Thriller,,
